,c1,c2,k1,k2,Train MAPE,Val MAPE,Test MAPE,Next M MAPE,Next D MAPE,Next H MAPE
3,8,8,"(3, 2)","(3, 2)",1.008030176,1.086551063,1.043381561,1.127387751,0.977068264,1.025688685
15,16,16,"(3, 2)","(3, 2)",1.004246045,1.087491158,1.030860692,1.153709367,0.941073429,0.997799281
6,8,16,"(3, 2)","(2, 2)",1.016486157,1.098548602,1.069609951,1.154420543,0.974049149,1.080360152
9,16,8,"(2, 2)","(3, 2)",0.977204498,1.10130392,1.028893329,1.132943649,0.960548343,0.99318821
1,8,8,"(2, 2)","(3, 2)",1.059908215,1.164218094,1.109620649,1.211943049,1.042024661,1.074894276
4,8,16,"(2, 2)","(2, 2)",0.978391524,1.167540569,1.02107903,1.09052768,0.943751438,1.028957898
12,16,16,"(2, 2)","(2, 2)",1.096346993,1.173898149,1.114586815,1.210164931,1.038401406,1.095193978
13,16,16,"(2, 2)","(3, 2)",1.071006358,1.182369068,1.129537802,1.267960519,0.98332244,1.137330346
11,16,8,"(3, 2)","(3, 2)",1.084357295,1.18481297,1.163553949,1.281583868,1.111727897,1.097350176
10,16,8,"(3, 2)","(2, 2)",1.01244051,1.195457336,1.036187671,1.131962221,0.996520687,0.980080143
14,16,16,"(3, 2)","(2, 2)",1.094219889,1.216112506,1.116421334,1.252152789,1.069352105,1.027759165
0,8,8,"(2, 2)","(2, 2)",0.983990412,1.218840275,1.027501654,1.114628892,0.975527568,0.992348511
8,16,8,"(2, 2)","(2, 2)",1.02576131,1.232374944,1.065934617,1.12949159,1.038032956,1.030279323
5,8,16,"(2, 2)","(3, 2)",1.138767954,1.241994072,1.145411618,1.23742504,1.100554653,1.098255105
7,8,16,"(3, 2)","(3, 2)",1.08341733,1.267553307,1.163316518,1.222368572,1.079432871,1.188148204
2,8,8,"(3, 2)","(2, 2)",1.047780942,1.267648116,1.073106509,1.159263644,1.040200805,1.01985503
