,depth,ne,sub,col,lr,Train MAPE,Val MAPE,Test MAPE,Next M MAPE,Next D MAPE,Next H MAPE
5,2,1000,0.8,1,0.1,0.648552334,0.7983243,0.819780291,0.930078762,0.769056029,0.760206083
4,2,1000,0.8,1,0.01,0.66977058,0.806887415,0.817729044,0.936964158,0.751381881,0.764841094
1,2,1000,0.8,0.9,0.01,0.687852125,0.808056354,0.820976595,0.935189358,0.756395655,0.771344772
2,2,1000,0.8,0.9,0.1,0.640688805,0.810042724,0.827024464,0.94031186,0.781551246,0.759210286
11,2,1000,0.9,1,0.1,0.677473526,0.811492505,0.826896591,0.947999498,0.76622556,0.766464715
7,2,1000,0.9,0.9,0.01,0.676300498,0.811968103,0.819003463,0.937657192,0.751748819,0.767604379
8,2,1000,0.9,0.9,0.1,0.651554435,0.812456887,0.829894503,0.959159335,0.767338641,0.763185533
19,4,1000,0.8,0.9,0.01,0.485947893,0.812909173,0.823121809,0.950291618,0.764419553,0.754654256
20,4,1000,0.8,0.9,0.1,0.485937633,0.813243691,0.834523386,0.961116066,0.781357843,0.76109625
10,2,1000,0.9,1,0.01,0.690166541,0.814449823,0.821424929,0.93552033,0.755452833,0.773301623
22,4,1000,0.8,1,0.01,0.457156301,0.818207049,0.823716742,0.94609254,0.766972241,0.758085445
14,2,1000,1,0.9,0.1,0.662719732,0.822986485,0.832299789,0.948459483,0.760213672,0.788226212
25,4,1000,0.9,0.9,0.01,0.464202155,0.82607468,0.829372085,0.951038207,0.769011988,0.768066061
37,6,1000,0.8,0.9,0.01,0.296215834,0.827029164,0.834810676,0.948061617,0.783744949,0.772625462
17,2,1000,1,1,0.1,0.681310945,0.82711967,0.834538635,0.947091975,0.760870115,0.795653815
38,6,1000,0.8,0.9,0.1,0.356260495,0.827182576,0.852126444,0.958313205,0.797144717,0.80092141
13,2,1000,1,0.9,0.01,0.686631364,0.830585781,0.82929635,0.945444896,0.755797001,0.786647154
55,8,1000,0.8,0.9,0.01,0.237035468,0.83203764,0.842644796,0.950588519,0.793161486,0.784184384
73,10,1000,0.8,0.9,0.01,0.216925614,0.833285137,0.845122069,0.955753644,0.791520741,0.788091823
16,2,1000,1,1,0.01,0.67912438,0.833316792,0.829369855,0.945596838,0.756589831,0.785922896
28,4,1000,0.9,1,0.01,0.469297155,0.834744289,0.835008568,0.956220905,0.77831668,0.77048812
26,4,1000,0.9,0.9,0.1,0.411250205,0.835079668,0.845565236,0.969121967,0.802552717,0.765021023
23,4,1000,0.8,1,0.1,0.480374445,0.836685803,0.823958922,0.934747882,0.773887124,0.763241762
29,4,1000,0.9,1,0.1,0.448722107,0.838412616,0.84505859,0.972956022,0.784697627,0.777522121
74,10,1000,0.8,0.9,0.1,0.195230616,0.839108703,0.861485819,0.969892152,0.818600372,0.795964935
56,8,1000,0.8,0.9,0.1,0.233108425,0.839847439,0.856870532,0.961446721,0.811919337,0.797245538
43,6,1000,0.9,0.9,0.01,0.2844994,0.841550991,0.841637594,0.95547128,0.801074384,0.768367118
44,6,1000,0.9,0.9,0.1,0.28061231,0.844776287,0.862443049,0.975032231,0.812950533,0.799346383
32,4,1000,1,0.9,0.1,0.447729926,0.846333075,0.851578427,0.96880674,0.806037142,0.779891398
41,6,1000,0.8,1,0.1,0.333442008,0.84949105,0.864955229,0.981304745,0.809048878,0.804512065
40,6,1000,0.8,1,0.01,0.298939283,0.851052479,0.842062038,0.954157464,0.799563441,0.772465208
